epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,5200.97,1.43144,0.9466,0.91514,0.79899,0.67942,0.7449,0.53283,1.3993,0.87126,0.92227,0.000137,0.000137,0.000137
145,5236.43,1.40569,0.92339,0.91118,0.7968,0.68638,0.74435,0.54184,1.39256,0.87648,0.92151,0.000134462,0.000134462,0.000134462
146,5272,1.42761,0.92895,0.90966,0.80285,0.67983,0.74645,0.54099,1.39831,0.88185,0.92382,0.000131923,0.000131923,0.000131923
147,5307.83,1.42521,0.92536,0.91088,0.7924,0.69259,0.74866,0.53403,1.42031,0.88687,0.92676,0.000129385,0.000129385,0.000129385
148,5343.74,1.42611,0.93404,0.90937,0.81999,0.67846,0.75427,0.54518,1.39555,0.87086,0.9217,0.000126846,0.000126846,0.000126846
149,5379.76,1.38845,0.90719,0.90676,0.81738,0.69098,0.74744,0.54556,1.38403,0.8623,0.92023,0.000124308,0.000124308,0.000124308
150,5418.82,1.43087,0.93178,0.90899,0.82988,0.6841,0.74885,0.54279,1.39073,0.87269,0.92242,0.000121769,0.000121769,0.000121769
151,5453.38,1.40679,0.92355,0.90889,0.80974,0.69764,0.75072,0.54358,1.39197,0.8696,0.91961,0.000119231,0.000119231,0.000119231
152,5489.1,1.42219,0.93199,0.90961,0.81653,0.68086,0.74844,0.54209,1.38964,0.87184,0.92078,0.000116692,0.000116692,0.000116692
153,5524.67,1.4057,0.91665,0.9114,0.80872,0.68517,0.75271,0.54149,1.392,0.87134,0.92139,0.000114154,0.000114154,0.000114154
154,5560.39,1.41452,0.91985,0.9036,0.81338,0.69168,0.75078,0.54511,1.39367,0.87159,0.9216,0.000111615,0.000111615,0.000111615
155,5595.4,1.40137,0.90442,0.90595,0.81953,0.68611,0.74442,0.5371,1.39706,0.86728,0.92357,0.000109077,0.000109077,0.000109077
156,5629.89,1.39826,0.90947,0.90574,0.81203,0.69576,0.75056,0.54412,1.38092,0.86168,0.9182,0.000106538,0.000106538,0.000106538
157,5665.61,1.39896,0.91354,0.90862,0.82419,0.67237,0.74678,0.53804,1.38086,0.86091,0.91885,0.000104,0.000104,0.000104
158,5699.97,1.41228,0.91383,0.90643,0.81963,0.69342,0.74959,0.54379,1.39227,0.85758,0.92115,0.000101462,0.000101462,0.000101462
159,5736.06,1.38901,0.91406,0.90461,0.8163,0.68872,0.7477,0.54088,1.3839,0.85932,0.92058,9.89231e-05,9.89231e-05,9.89231e-05
160,5771.43,1.39778,0.90384,0.90662,0.82109,0.69513,0.75294,0.54588,1.37699,0.8522,0.91889,9.63846e-05,9.63846e-05,9.63846e-05
161,5809.24,1.43347,0.91503,0.90533,0.83527,0.68551,0.75023,0.54493,1.37532,0.85526,0.91783,9.38462e-05,9.38462e-05,9.38462e-05
162,5844.12,1.39586,0.90683,0.90127,0.80801,0.69332,0.75491,0.54777,1.3762,0.85223,0.91975,9.13077e-05,9.13077e-05,9.13077e-05
163,5881.09,1.40466,0.90651,0.90138,0.82944,0.69352,0.75521,0.5457,1.38855,0.85605,0.92043,8.87692e-05,8.87692e-05,8.87692e-05
